algorithm,dataset,task,timestamp,total,correct,incorrect,notmatched,accuracy,fnmr,fmr,evaluation_time_seconds,n_clusters,n_samples,feature_dimension,ari,nmi,silhouette_score,clustering_time_seconds
SVM,n-to-n,multi-class,2026-05-12T14:59:04.862140,810,211,599,0,0.26049382716049385,0.0,0.7395061728395061,81.859614610672,,,,,,,
RandomForest,n-to-n,multi-class,2026-05-12T15:01:55.772566,810,213,597,0,0.26296296296296295,0.0,0.737037037037037,86.06459522247314,,,,,,,
KNN,n-to-n,multi-class,2026-05-12T15:04:41.890463,810,130,680,0,0.16049382716049382,0.0,0.8395061728395061,82.0151686668396,,,,,,,
CNN,n-to-n,deep-learning,2026-05-12T15:12:11.702320,810,204,606,0,0.2518518518518518,0.0,0.7481481481481481,84.41107201576233,,,,,,,
KMeans-Clustering,n-to-n,unsupervised,2026-05-12T15:13:35.802519,,,,,,,,,100,823,40,0.04048366860554803,0.4958989893242602,-0.0018402855785630823,84.06433057785034
