stage,timestamp,speakers_trained,audio_files,total_features,training_time_seconds,total,correct,incorrect,notmatched,accuracy,fnmr,fmr,evaluation_time_seconds,threshold
training_complete,2026-05-12T15:36:45.813975,1,10,54945,4.331456899642944,,,,,,,,,
evaluation_complete,2026-05-12T15:39:05.288844,,,,,17,1,0,16,0.058823529411764705,0.9411764705882353,0.0,139.46838092803955,-25
