stage,timestamp,classes,training_samples,epochs,training_time_seconds,total,correct,incorrect,notmatched,accuracy,fnmr,fmr,known_total,unknown_total,correct_accepts,correct_rejects,false_accepts,false_rejects,misidentified_known,open_set,evaluation_time_seconds
training_complete,2026-05-12T22:17:42.824835,1,10,30,12.741249322891235,,,,,,,,,,,,,,,,
evaluation_complete,2026-05-12T22:17:44.450646,,,,,10,10,0,0,1.0,0.0,0.0,10,0,10,0,0,0,0,False,1.622659683227539
