stage,timestamp,speakers,training_samples,feature_dimension,training_time_seconds,total,correct,incorrect,notmatched,accuracy,fnmr,fmr,known_total,unknown_total,correct_accepts,correct_rejects,false_accepts,false_rejects,misidentified_known,open_set,evaluation_time_seconds
training_complete,2026-05-12T22:01:33.532785,100,823,40,134.01126956939697,,,,,,,,,,,,,,,,
evaluation_complete,2026-05-12T22:03:21.543189,,,,,810,213,597,0,0.26296296296296295,0.0,0.737037037037037,810,0,213,0,0,0,597,False,108.00635957717896
