stage,timestamp,speakers,training_samples,feature_dimension,training_time_seconds,total,correct,incorrect,notmatched,accuracy,fnmr,fmr,evaluation_time_seconds
training_complete,2026-05-12T15:00:29.695775,100,823,40,84.82801699638367,,,,,,,,
evaluation_complete,2026-05-12T15:01:55.764509,,,,,810,213,597,0,0.26296296296296295,0.0,0.737037037037037,86.06459522247314
