stage,timestamp,classes,training_samples,epochs,training_time_seconds,total,correct,incorrect,notmatched,accuracy,fnmr,fmr,known_total,unknown_total,correct_accepts,correct_rejects,false_accepts,false_rejects,misidentified_known,open_set,evaluation_time_seconds
training_complete,2026-05-12T22:14:15.679388,100,823,30,447.4876661300659,,,,,,,,,,,,,,,,
evaluation_complete,2026-05-12T22:15:46.896093,,,,,810,226,584,0,0.27901234567901234,0.0,0.7209876543209877,810,0,226,0,0,0,584,False,91.2023651599884
