stage,timestamp,classes,training_samples,epochs,training_time_seconds,total,correct,incorrect,notmatched,accuracy,fnmr,fmr,evaluation_time_seconds
training_complete,2026-05-12T16:16:14.712272,100,823,30,447.80115365982056,,,,,,,,
evaluation_complete,2026-05-12T16:17:56.644909,,,,,810,234,576,0,0.28888888888888886,0.0,0.7111111111111111,101.9142906665802
