stage,timestamp,speakers,training_samples,feature_dimension,training_time_seconds,total,correct,incorrect,notmatched,accuracy,fnmr,fmr,known_total,unknown_total,correct_accepts,correct_rejects,false_accepts,false_rejects,misidentified_known,open_set,evaluation_time_seconds
training_complete,2026-05-12T22:17:28.336879,1,10,40,2.028404712677002,,,,,,,,,,,,,,,,
evaluation_complete,2026-05-12T22:17:30.070630,,,,,10,10,0,0,1.0,0.0,0.0,10,0,10,0,0,0,0,False,1.7304017543792725
