stage,timestamp,speakers,training_samples,feature_dimension,training_time_seconds,total,correct,incorrect,notmatched,accuracy,fnmr,fmr,known_total,unknown_total,correct_accepts,correct_rejects,false_accepts,false_rejects,misidentified_known,open_set,evaluation_time_seconds
training_complete,2026-05-12T21:56:52.661187,100,823,40,123.59992480278015,,,,,,,,,,,,,,,,
evaluation_complete,2026-05-12T21:59:19.349657,,,,,810,211,599,0,0.26049382716049385,0.0,0.7395061728395061,810,0,211,0,0,0,599,False,146.68307662010193
