stage,timestamp,speakers,training_samples,feature_dimension,training_time_seconds,total,correct,incorrect,notmatched,accuracy,fnmr,fmr,evaluation_time_seconds
training_complete,2026-05-12T16:19:42.745419,1,10,40,1.9795866012573242,,,,,,,,
evaluation_complete,2026-05-12T16:19:44.468443,,,,,10,10,0,0,1.0,0.0,0.0,1.7200210094451904
