stage,timestamp,speakers_trained,audio_files,total_features,training_time_seconds,total,correct,incorrect,notmatched,accuracy,fnmr,fmr,evaluation_time_seconds,threshold
training_complete,2026-05-12T15:36:38.803819,1,10,54945,6.437687873840332,,,,,,,,,
evaluation_complete,2026-05-12T15:36:41.469577,,,,,1,0,0,1,0.0,1.0,0.0,2.6565003395080566,-25
