threshold,threshold_metric,accuracy,fnmr,fmr,eer_gap,eer_estimate,known_total,unknown_total,false_accepts,false_rejects
-36.135643470308494,gmm_score,0.484149855907781,0.2,0.52046783625731,0.32046783625730996,0.360233918128655,10,684,356,2
-36.1356424703085,gmm_score,0.48559077809798273,0.2,0.5190058479532164,0.31900584795321635,0.3595029239766082,10,684,355,2
-35.47115123093953,gmm_score,0.48703170028818443,0.2,0.5175438596491229,0.31754385964912285,0.3587719298245614,10,684,354,2
-35.24251893964819,gmm_score,0.4884726224783862,0.2,0.5160818713450293,0.31608187134502924,0.3580409356725146,10,684,353,2
-34.95169501159195,gmm_score,0.4899135446685879,0.2,0.5146198830409356,0.31461988304093563,0.3573099415204678,10,684,352,2
-34.92263942288492,gmm_score,0.49135446685878964,0.2,0.5131578947368421,0.31315789473684214,0.3565789473684211,10,684,351,2
-34.74521976387615,gmm_score,0.49279538904899134,0.2,0.5116959064327485,0.3116959064327485,0.3558479532163743,10,684,350,2
-34.631495664121715,gmm_score,0.4942363112391931,0.2,0.5102339181286549,0.3102339181286549,0.3551169590643275,10,684,349,2
-34.51006856479802,gmm_score,0.4956772334293948,0.2,0.5087719298245614,0.3087719298245614,0.3543859649122807,10,684,348,2
-34.50594557883813,gmm_score,0.49711815561959655,0.2,0.5073099415204678,0.3073099415204678,0.3536549707602339,10,684,347,2
-34.3755294784574,gmm_score,0.49855907780979825,0.2,0.5058479532163743,0.3058479532163743,0.3529239766081872,10,684,346,2
-34.267673817741915,gmm_score,0.5,0.2,0.5043859649122807,0.3043859649122807,0.3521929824561404,10,684,345,2
-34.22708516205861,gmm_score,0.5014409221902018,0.2,0.5029239766081871,0.3029239766081871,0.3514619883040936,10,684,344,2
-33.995534108416635,gmm_score,0.5028818443804035,0.2,0.5014619883040936,0.3014619883040936,0.3507309941520468,10,684,343,2
-33.98801687384606,gmm_score,0.5043227665706052,0.2,0.5,0.3,0.35,10,684,342,2
-33.77983315223942,gmm_score,0.5057636887608069,0.2,0.49853801169590645,0.29853801169590644,0.34926900584795323,10,684,341,2
-33.683127096325975,gmm_score,0.5072046109510087,0.2,0.49707602339181284,0.2970760233918128,0.3485380116959064,10,684,340,2
-33.65578614582225,gmm_score,0.5072046109510087,0.2,0.49707602339181284,0.2970760233918128,0.3485380116959064,10,684,340,2
-33.6410819482278,gmm_score,0.5086455331412104,0.2,0.4956140350877193,0.2956140350877193,0.3478070175438597,10,684,339,2
-33.63825371712462,gmm_score,0.5086455331412104,0.2,0.4956140350877193,0.2956140350877193,0.3478070175438597,10,684,339,2
-33.634793459715844,gmm_score,0.5100864553314121,0.2,0.49415204678362573,0.2941520467836257,0.34707602339181287,10,684,338,2
-33.58520519753332,gmm_score,0.5115273775216138,0.2,0.4926900584795322,0.29269005847953217,0.34634502923976607,10,684,337,2
-33.58021675592904,gmm_score,0.5129682997118156,0.2,0.49122807017543857,0.29122807017543856,0.34561403508771926,10,684,336,2
-33.4989919075612,gmm_score,0.5129682997118156,0.2,0.49122807017543857,0.29122807017543856,0.34561403508771926,10,684,336,2
-33.2875043601069,gmm_score,0.5144092219020173,0.2,0.489766081871345,0.289766081871345,0.3448830409356725,10,684,335,2
-33.278373936976536,gmm_score,0.5144092219020173,0.2,0.489766081871345,0.289766081871345,0.3448830409356725,10,684,335,2
-33.23318277082147,gmm_score,0.515850144092219,0.2,0.48830409356725146,0.28830409356725145,0.34415204678362576,10,684,334,2
-33.10675779737238,gmm_score,0.5172910662824207,0.2,0.4868421052631579,0.2868421052631579,0.34342105263157896,10,684,333,2
-33.05059744481618,gmm_score,0.5187319884726225,0.2,0.4853801169590643,0.2853801169590643,0.34269005847953216,10,684,332,2
-33.00593513933223,gmm_score,0.5187319884726225,0.2,0.4853801169590643,0.2853801169590643,0.34269005847953216,10,684,332,2
-32.98106868211684,gmm_score,0.5201729106628242,0.2,0.48391812865497075,0.28391812865497074,0.34195906432748535,10,684,331,2
-32.92941661790268,gmm_score,0.521613832853026,0.2,0.4824561403508772,0.2824561403508772,0.3412280701754386,10,684,330,2
