stage,timestamp,speakers_trained,audio_files,total_features,training_time_seconds,total,correct,incorrect,notmatched,accuracy,fnmr,fmr,known_total,unknown_total,correct_accepts,correct_rejects,false_accepts,false_rejects,misidentified_known,open_set,threshold,threshold_metric,require_positive_llr,evaluation_time_seconds,threshold_selection,eer,eer_threshold
training_complete,2026-05-12T21:41:35.373930,1,10,54945,6.866821050643921,,,,,,,,,,,,,,,,,,,,,,
evaluation_complete,2026-05-12T21:44:17.697282,,,,,694,555,137,2,0.7997118155619597,0.2,0.20029239766081872,10,684,8,547,137,2,0,True,-28.040396145011766,gmm_score,True,162.28260135650635,eer_sweep,0.20014619883040935,-28.040396145011766
