stage,timestamp,speakers,training_samples,feature_dimension,training_time_seconds,total,correct,incorrect,notmatched,accuracy,fnmr,fmr,known_total,unknown_total,correct_accepts,correct_rejects,false_accepts,false_rejects,misidentified_known,open_set,evaluation_time_seconds
training_complete,2026-05-12T22:05:04.968520,100,823,40,103.37579655647278,,,,,,,,,,,,,,,,
evaluation_complete,2026-05-12T22:06:48.177022,,,,,810,130,680,0,0.16049382716049382,0.0,0.8395061728395061,810,0,130,0,0,0,680,False,103.2048647403717
