stage,timestamp,speakers,training_samples,feature_dimension,training_time_seconds,total,correct,incorrect,notmatched,accuracy,fnmr,fmr,evaluation_time_seconds
training_complete,2026-05-12T16:00:41.035614,100,823,40,97.18929100036621,,,,,,,,
evaluation_complete,2026-05-12T16:02:16.339843,,,,,810,211,599,0,0.26049382716049385,0.0,0.7395061728395061,95.30160284042358
