stage,timestamp,classes,training_samples,epochs,training_time_seconds,total,correct,incorrect,notmatched,accuracy,fnmr,fmr,evaluation_time_seconds
training_complete,2026-05-12T14:29:37.484076,100,823,30,377.5684423446655,,,,,,,,
evaluation_complete,2026-05-12T14:31:00.169783,,,,,810,267,543,0,0.3296296296296296,0.0,0.6703703703703704,82.67381429672241
