stage,timestamp,speakers,training_samples,feature_dimension,training_time_seconds,total,correct,incorrect,notmatched,accuracy,fnmr,fmr,evaluation_time_seconds
training_complete,2026-05-12T16:19:38.944728,1,10,40,2.376671075820923,,,,,,,,
evaluation_complete,2026-05-12T16:19:40.756494,,,,,10,10,0,0,1.0,0.0,0.0,1.8083276748657227
